icao,name,city,state,country,lat,lon,timezone_id,mississippi_direction
KCRE,Grand Strand,North Myrtle Beach,SC,US,33.81175,-78.7239444,America/New_York,EAST
KCRG,Jacksonville Exec At Craig,Jacksonville,FL,US,30.3363333,-81.5144444,America/New_York,EAST
KCRP,Corpus Christi Intl,Corpus Christi,TX,US,27.7721944,-97.5024167,America/Chicago,WEST
KCRQ,McClellan-Palomar,Carlsbad,CA,US,33.12825,-117.2800833,America/Los_Angeles,WEST
KCRS,Corsicana Muni,Corsicana,TX,US,32.0280556,-96.4005833,America/Chicago,WEST
KCRT,Z M Jack Stell Fld,Crossett,AR,US,33.1783333,-91.8801944,America/Chicago,WEST
KCRW,West Virginia Intl Yeager,Charleston,WV,US,38.3760131,-81.5928936,America/New_York,EAST
KCRX,Roscoe Turner,Corinth,MS,US,34.9149672,-88.6034844,America/Chicago,EAST
KCRZ,Corning Muni,Corning,IA,US,40.994125,-94.7550297,America/Chicago,WEST
KCSB,Cambridge Muni,Cambridge,NE,US,40.3065819,-100.1620722,America/Chicago,WEST
KCSG,Columbus,Columbus,GA,US,32.5163333,-84.9388611,America/New_York,EAST
KCSM,Clinton/Sherman,Burns Flat,OK,US,35.3398392,-99.2004994,America/Chicago,WEST
KCSQ,Creston Muni,Creston,IA,US,41.0214444,-94.3633056,America/Chicago,WEST
KCSV,Crossville Memorial,Crossville,TN,US,35.9512914,-85.0849772,America/Chicago,EAST
KCTB,Cut Bank Intl,Cut Bank,MT,US,48.6083547,-112.3761508,America/Denver,WEST
KCTJ,W Georgia Regional,Carrollton,GA,US,33.6316964,-85.1522641,America/New_York,EAST
KCTK,Ingersoll,Canton,IL,US,40.5690833,-90.0748333,America/Chicago,EAST
KCTY,Cross City,Cross City,FL,US,29.6355278,-83.10475,America/New_York,EAST
KCTZ,Clinton-Sampson County,Clinton,NC,US,34.9749353,-78.36563,America/New_York,EAST
KCUB,Jim Hamilton L B Owens,Columbia,SC,US,33.9704722,-80.99525,America/New_York,EAST
KCUH,Cushing Muni,Cushing,OK,US,35.9500278,-96.7734167,America/Chicago,WEST
KCUL,Carmi Muni,Carmi,IL,US,38.0894792,-88.1230611,America/Chicago,EAST
KCUT,Custer County,Custer,SD,US,43.7336606,-103.6194983,America/Denver,WEST
KCVB,Castroville Muni,Castroville,TX,US,29.3423889,-98.8512222,America/Chicago,WEST
KCVC,Covington Muni,Atlanta,GA,US,33.6322475,-83.8466189,America/New_York,EAST
KCVG,Cincinnati/Northern Kentucky International Airport,Hebron,KY,US,39.0488375,-84.6678208,America/New_York,EAST
KCVH,Hollister Muni,Hollister,CA,US,36.8933475,-121.4102736,America/Los_Angeles,WEST
KCVK,Sharp County Rgnl,Cherokee Village,AR,US,36.264889,-91.562667,America/Chicago,WEST
KCVN,Clovis Rgnl,Clovis,NM,US,34.4265903,-103.07758,America/Denver,WEST
KCVO,Corvallis Muni,Corvallis,OR,US,44.4968758,-123.2894572,America/Los_Angeles,WEST
KCVX,Charlevoix Muni,Charlevoix,MI,US,45.3048611,-85.2753056,America/Detroit,EAST
KCWA,Central Wisconsin,Mosinee,WI,US,44.7777831,-89.6659111,America/Chicago,EAST
KCWC,Kickapoo Downtown,Wichita Falls,TX,US,33.8606167,-98.4903986,America/Chicago,WEST
KCWF,Chennault Intl,Lake Charles,LA,US,30.2105869,-93.1431892,America/Chicago,WEST
KCWI,Clinton Muni,Clinton,IA,US,41.83075,-90.3289722,America/Chicago,EAST
KCWV,Claxton-Evans County,Claxton,GA,US,32.1950564,-81.8693175,America/New_York,EAST
KCXE,Chase City Muni,Chase City,VA,US,36.7883356,-78.5015536,America/New_York,EAST
KCXL,Calexico Intl,Calexico,CA,US,32.6674444,-115.5175833,America/Los_Angeles,WEST
KCXO,Conroe/North Houston Rgnl,Conroe,TX,US,30.3533955,-95.4150819,America/Chicago,WEST
KCXP,Carson City,Carson City,NV,US,39.1923042,-119.7325706,America/Los_Angeles,WEST
KCXU,Camilla-Mitchell County,Camilla,GA,US,31.2131667,-84.2352222,America/New_York,EAST
KCXW,Conway Rgnl,Conway,AR,US,35.0198889,-92.5551111,America/Chicago,WEST
KCXY,Capital City,Harrisburg,PA,US,40.2171389,-76.8513611,America/New_York,EAST
KCYO,Pickaway County Meml,Circleville,OH,US,39.516,-82.9821389,America/New_York,EAST
KCYS,Cheyenne Rgnl,Cheyenne,WY,US,41.1556389,-104.8104722,America/Denver,WEST
KCYW,Clay Center Muni,Clay Center,KS,US,39.3871389,-97.1572222,America/Chicago,WEST
KCZD,Cozad Muni,Cozad,NE,US,40.8695925,-100.0042514,America/Chicago,WEST
KCZG,Tri-Cities,Endicott,NY,US,42.0785342,-76.0963306,America/New_York,EAST
KCZK,Cascade Locks State,Cascade Locks,OR,US,45.676944,-121.878889,America/Los_Angeles,WEST
KCZL,Tom B David Fld,Calhoun,GA,US,34.4554025,-84.9391553,America/New_York,EAST
KCZT,Dimmit County,Carrizo Springs,TX,US,28.52225,-99.8236389,America/Chicago,WEST
KDAB,Daytona Beach Intl,Daytona Beach,FL,US,29.1799089,-81.0580422,America/New_York,EAST
KDAF,Necedah,Necedah,WI,US,44.0334444,-90.0851111,America/Chicago,EAST
KDAG,Barstow-Daggett,Daggett,CA,US,34.8537222,-116.7866944,America/Los_Angeles,WEST
KDAL,Dallas Love Fld,Dallas,TX,US,32.8459447,-96.8508767,America/Chicago,WEST
KDAN,Danville Rgnl,Danville,VA,US,36.5724722,-79.33625,America/New_York,EAST
KDAW,Skyhaven,Rochester,NH,US,43.2842348,-70.9295495,America/New_York,EAST
KDAY,James M Cox Dayton Intl,Dayton,OH,US,39.9022522,-84.2194122,America/New_York,EAST
KDBN,"W H ''Bud'' Barron",Dublin,GA,US,32.5647222,-82.9849722,America/New_York,EAST
KDBQ,Dubuque Rgnl,Dubuque,IA,US,42.402,-90.7094722,America/Chicago,WEST
KDCA,Reagan National,Washington,DC,US,38.8514403,-77.0377214,America/New_York,EAST
KDCM,Chester Catawba Rgnl,Chester,SC,US,34.7893333,-81.1957778,America/New_York,EAST
KDCU,Pryor Fld Rgnl,Decatur,AL,US,34.6540556,-86.9453611,America/Chicago,EAST
KDCY,Daviess County,Washington,IN,US,38.7007661,-87.1312903,America/Indiana/Vincennes,EAST
KDDC,Dodge City Rgnl,Dodge City,KS,US,37.7631111,-99.9654167,America/Chicago,WEST
KDDH,William H Morse State,Bennington,VT,US,42.8913303,-73.2464042,America/New_York,EAST
KDEC,Decatur,Decatur,IL,US,39.8345625,-88.8656892,America/Chicago,EAST
KDED,Deland Municipal,Deland,FL,US,29.0670278,-81.28375,America/New_York,EAST
KDEH,Decorah Muni,Decorah,IA,US,43.2755,-91.7393889,America/Chicago,WEST
KDEN,Denver Intl,Denver,CO,US,39.8616667,-104.6731667,America/Denver,WEST
KDEQ,Sevier County,De Queen,AR,US,34.047,-94.3993611,America/Chicago,WEST
KDET,Coleman a Young Muni,Detroit,MI,US,42.4093275,-83.0101739,America/Detroit,EAST
KDEW,Deer Park,Deer Park,WA,US,47.9670547,-117.4285867,America/Los_Angeles,WEST
KDFI,Defiance Meml,Defiance,OH,US,41.3375,-84.4288056,America/New_York,EAST
KDFW,Dallas-Fort Worth Intl,Dallas-Fort Worth,TX,US,32.8972331,-97.0376947,America/Chicago,WEST
KDGL,Douglas Muni,Douglas,AZ,US,31.3426028,-109.5064544,America/Phoenix,WEST
KDGW,Converse County,Douglas,WY,US,42.7971944,-105.3858333,America/Denver,WEST
KDHN,Dothan Rgnl,Dothan,AL,US,31.3210278,-85.4494722,America/Chicago,EAST
KDHT,Dalhart Muni,Dalhart,TX,US,36.0224722,-102.5473889,America/Chicago,WEST
KDIJ,Driggs/Reed Meml,Driggs,ID,US,43.7426944,-111.0967778,America/Boise,WEST
KDIK,Roosevelt Rgnl,Dickinson,ND,US,46.8004736,-102.8044353,America/Denver,WEST
KDKB,De Kalb Taylor Muni,De Kalb,IL,US,41.9338342,-88.7056864,America/Chicago,EAST
